catalogWave,sourceId,sourceName,provider,officialGovernmentOrSRO,modelStage,evidenceBranch,priority,officialCoverage,accessMode,sizeClass,landingPage,collectionUnit,pointInTimeRule,projectUse,interpretationCaveat,packageStatus
WAVE1,WIKIMEDIA_PAGEVIEWS,Wikimedia Pageviews API,Wikimedia Foundation,NO_NONPROFIT_PUBLIC,Stage2A,public_attention,P3_OPTIONAL,daily pageviews from 2015-07 onward,REST API,TARGETED,https://wikitech.wikimedia.org/wiki/Analytics/AQS/Pageviews,resolved article/day,page title mapping and view date strictly before eventDate,independent public-attention burst proxy for promotion and catalyst comparison,"Article-title resolution, bots, redirects and unrelated same-name pages can contaminate signals.",CATALOG_ONLY
WAVE1,SEC_MIDAS_SPREAD_DEPTH_2013,MIDAS Spreads and Depth by Individual Security,SEC,YES,Stage2B,market_microstructure_depth,P3_RESEARCH,calendar 2013 only,landing-page linked ZIP,VERY_LARGE,https://www.sec.gov/data-research/sec-markets-data/marketstructuredata-spreads-depth,2013 full files,date strictly before eventDate,spread/depth validation branch for 2013 events and method development,Only 2013 is covered and files are large; do not extrapolate coverage.,LINK_DISCOVERY_AND_DOWNLOAD_CODE_INCLUDED
WAVE1,USPTO_ODP_PATENT_FILE_WRAPPER,USPTO Open Data Portal patent file-wrapper and patent records,USPTO,YES,ExternalEvidence/Stage1,legitimate_ip_catalyst,P3_SECTOR,historical patent records through current ODP,REST API/download,LARGE_SELECTIVE,https://data.uspto.gov/,assignee/application query,publication/grant/public document date strictly before eventDate,"patent application, assignment and grant chronology for catalyst controls",Patent publication and grant are distinct; assignee names require historical entity resolution.,CATALOG_AND_TARGETED_COLLECTION_DESIGN
WAVE2,W2_LIBRARY_PRICE_PARTITIONS,Four historical US OHLCV parquet partitions,User Library / unknown upstream,NO,Stage0/Stage1/2A,historical price and liquidity,P0_ACTUAL,1962-01-02 through 2026-07-08 by footer statistics,IN_PACKAGE,VERY_LARGE,,symbol-day row,trade_date < cutoff; historical issuer interval must be verified,candidate OHLCV recovery for delisted and legacy symbols,Upstream provenance is not established; do not treat as canonical or attach by current ticker alone.,ACTUAL_DATA_INCLUDED_QUARANTINED
WAVE2,W2_LIBRARY_SEC_FILING_INDEX,SEC filing reference index parquet,User Library / SEC-derived,PARTIAL,Stage0/Stage1/2A/External Evidence,filing chronology and identity,P0_ACTUAL,1993-08-13 through 2026-08-07 by footer statistics,IN_PACKAGE,LARGE,,filing row,filing_date/acceptance timestamp < cutoff,"accession, CIK, form, filing/report/acceptance dates and filing URL",Verify upstream transformation and preserve amendments; an occurrence is not transaction content or causal proof.,ACTUAL_DATA_INCLUDED_REFERENCE
WAVE2,W2_LIBRARY_SHARES_OUTSTANDING,Shares outstanding reference parquet,User Library / SEC-derived,PARTIAL,Stage0/Stage1/2A,capital structure and dilution,P0_ACTUAL,1984-01-31 through 2026-06-30 by footer statistics,IN_PACKAGE,MEDIUM,,symbol-report date,report_date < cutoff,share-count history and dilution features,"Validate filing provenance, units, split basis and issuer identity before use.",ACTUAL_DATA_INCLUDED_REFERENCE
WAVE2,W2_LIBRARY_SPLIT_EVENTS,Stock split event reference parquet,User Library / mixed reference,PARTIAL,Stage0,corporate action and price basis,P0_ACTUAL,1992-09-22 through 2026-08-07 by footer statistics,IN_PACKAGE,SMALL,,symbol-event date,announcement/effective knowledge must precede cutoff,split and reverse-split basis checks,Report date may not equal announcement/effective date; verify against official filing and exchange notice.,ACTUAL_DATA_INCLUDED_REFERENCE
WAVE2,W2_LIBRARY_LEGACY_SYMBOL_HINTS,Legacy AMEX/Nasdaq/NYSE/OTCBB/Pink symbol lists,User Library / academic collection,NO,Stage0,identity candidate generation,P0_ACTUAL,snapshot date unknown,IN_PACKAGE,SMALL,,symbol row,never use as historical truth without dated issuer/CIK/CUSIP interval,candidate search seeds for unresolved and delisted securities,Current or undated symbol strings can be reused; identity_hint_only=1 and trainingEligible=0.,ACTUAL_DATA_INCLUDED_QUARANTINED
WAVE2,W2_LIBRARY_OFFICIAL_CASE_QC,US official case QC registry,User Library / SEC-DOJ sourced derivatives,PARTIAL,Labels/ActorGraph,official-case expansion,P0_ACTUAL,historical cases through build vintage,IN_PACKAGE,SMALL,,case row,"store conduct period, filing date and disposition separately",candidate positive labels and actor-family components,"Allegations, settlements and final judgments must remain distinct; unresolved identity rows stay excluded.",ACTUAL_DATA_INCLUDED_QUARANTINED
WAVE2,W2_LIBRARY_FORMAL_LABEL_POOL,Formal legal label pool V14,User Library / SEC-DOJ sourced derivatives,PARTIAL,Labels/Stage1/2B,label backlog and conservative anchors,P0_ACTUAL,historical cases through build vintage,IN_PACKAGE,SMALL,,case row,trade_date < conservative lower bound; purge where exact acquisition date is absent,append-only label review pool,Many rows are not finalTrainingReady; never bulk-promote by row count.,ACTUAL_DATA_INCLUDED_QUARANTINED
WAVE2,W2_LIBRARY_TICKER_RESOLUTION_AUDIT,Historical ticker resolution audit,User Library,NO,Stage0,identity quality control,P0_ACTUAL,119 audited cases,IN_PACKAGE,SMALL,,case-symbol row,use only the contemporaneous issuer interval,identity and market-data readiness audit,"Audit decisions are build-vintage observations, not authoritative security-master facts.",ACTUAL_DATA_INCLUDED_REFERENCE
WAVE2,W2_LIBRARY_UNRESOLVED_TICKERS,Unresolved historical ticker queue,User Library,NO,Stage0,identity backlog,P0_ACTUAL,194 unresolved rows,IN_PACKAGE,SMALL,,case-symbol row,no OHLCV attachment until issuer/CUSIP/venue interval resolves,targeted identity recovery queue,Unresolved rows are not missing-at-random and must not be silently dropped or guessed.,ACTUAL_DATA_INCLUDED_QUARANTINED
WAVE2,PCAOB_FORM_AP_AUDITORSEARCH,AuditorSearch full Form AP data set,PCAOB,YES,Stage0/Stage1/External Evidence,auditor and engagement-partner network,P1,Form AP era through current; full file updated daily,DIRECT_ZIP,MEDIUM,https://pcaobus.org/resources/auditorsearch,Form AP row,Form AP filing/public date < cutoff,"issuer-auditor-partner network, auditor changes and concentration",Ticker is omitted from the bulk download; join by issuer/CIK and do not treat an auditor relationship as wrongdoing.,VERIFIED_DIRECT_ASSET_RUNTIME_BLOCKED
WAVE2,PCAOB_INSPECTION_FIRM_LEVEL,PCAOB firm-level inspection report data,PCAOB,YES,Stage1/External Evidence,audit quality context,P2,"more than 4,000 inspection reports; historical through current",LINKED_MACHINE_READABLE,MEDIUM,https://pcaobus.org/oversight/inspections/firm-inspection-reports,inspection report,report publication date < cutoff,audit-firm inspection history and peer context,Inspection findings are firm/report context and are not issuer-specific fraud labels.,DYNAMIC_LINK_DISCOVERY_READY_RUNTIME_BLOCKED
WAVE2,PCAOB_INSPECTION_PART_IA,PCAOB Part I.A inspection observations,PCAOB,YES,Stage1/External Evidence,audit quality context,P2,annual firms from 2018 and triennial firms from 2019; quarterly updates,CSV_XML_JSON,MEDIUM,https://pcaobus.org/oversight/inspections/firm-inspection-reports,inspection observation,public report date < cutoff,deficiency category and firm-level audit-risk features,Publication occurs after inspected audits; use strict availability dates and avoid issuer-level guilt inference.,DYNAMIC_LINK_DISCOVERY_READY_RUNTIME_BLOCKED
WAVE2,PCAOB_INSPECTION_PART_IB,PCAOB Part I.B quality-control observations,PCAOB,YES,Stage1/External Evidence,audit quality context,P2,annual firms from 2018 and triennial firms from 2019; quarterly updates,CSV_XML_JSON,MEDIUM,https://pcaobus.org/oversight/inspections/firm-inspection-reports,inspection observation,public report date < cutoff,quality-control remediation and audit-firm regime features,Later remediation/disclosure must not be backfilled to earlier event states.,DYNAMIC_LINK_DISCOVERY_READY_RUNTIME_BLOCKED
WAVE2,PCAOB_ENFORCEMENT_ACTIONS,PCAOB enforcement actions,PCAOB,YES,ActorGraph/External Evidence,auditor enforcement,P2,historical through current,HTML_PDF_INDEX,SMALL,https://pcaobus.org/oversight/enforcement/enforcement-actions,action/document,public action date and conduct period stored separately,auditor/partner sanctions and actor-network expansion,Orders and settlements may not establish issuer misconduct; resolve names and firms carefully.,INDEX_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,PCAOB_REGISTERED_FIRMS,PCAOB registered public accounting firms,PCAOB,YES,Stage0/ActorGraph,audit-firm identity,P2,current and historical registration records,SEARCH_DOWNLOAD,SMALL,https://pcaobus.org/oversight/registration/registered-public-accounting-firms,firm,registration/status effective dates,"firm identity, country and registration status bridge",Current registration status must not be retroactively applied.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_FORM_SHO_AGGREGATED,Aggregated Form SHO short-position/activity reports,SEC,YES,Stage1/2A/External Evidence,institutional short activity,P2_FUTURE_MONITOR,implementation/compliance schedule subject to current SEC orders; no completed-history claim,EDGAR_STRUCTURED_FUTURE,LARGE,https://www.sec.gov/submit-filings/technical-specifications,monthly manager-security report,public availability < cutoff,future institutional short-position and activity context,Do not claim availability until filings and SEC aggregation are actually public; short activity is not manipulation evidence.,MONITOR_LATEST_ORDER_NO_DATA_CLAIM
WAVE2,SEC_FORM_SHO_TECH_SCHEMA,Form SHO XML technical specifications,SEC,YES,Data Engineering,schema and parser readiness,P2,versions 1.0-1.2 through 2025-08-29,DIRECT_ZIP,SMALL,https://www.sec.gov/submit-filings/technical-specifications,schema release,schema version effective date,prepare parser and validation before public data arrives,A schema is not a dataset and does not prove filing availability.,TECH_SCHEMA_DISCOVERY_READY_RUNTIME_BLOCKED
WAVE2,SEC_FORM_144_STRUCTURED,Structured Form 144 notices,SEC,YES,Stage1/2A/External Evidence,planned insider/affiliate sales,P1,structured filing era through current plus legacy EDGAR,EDGAR_XML,MEDIUM,https://www.sec.gov/submit-filings/technical-specifications,filing/notice,acceptance timestamp < cutoff; proposed sale date stored separately,planned affiliate sale pressure and chronology,A notice does not guarantee execution; amendments and late filings require provenance.,SELECTIVE_EDGAR_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_ATS_N_STRUCTURED,Form ATS-N structured filings,SEC,YES,Stage0/ActorGraph/2B,ATS venue and broker network,P2,structured filing era through current,EDGAR_XML,MEDIUM,https://www.sec.gov/submit-filings/technical-specifications,filing,acceptance timestamp < cutoff,"ATS operator ownership, operations and conflict context",Venue registration disclosure is not security-level manipulation evidence.,SELECTIVE_EDGAR_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_X17A5_STRUCTURED,Form X-17A-5 broker-dealer financial reports,SEC,YES,Stage1/ActorGraph/External Evidence,broker-dealer financial condition,P2,structured versions through 2026-03-16,EDGAR_XML,LARGE_SELECTIVE,https://www.sec.gov/submit-filings/technical-specifications,filing,acceptance timestamp < cutoff,broker-dealer capital/liquidity and actor-network context,Confidential/nonpublic portions and filer scope vary; do not infer issuer misconduct.,SELECTIVE_EDGAR_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_RULE605_REPORTS,Rule 605 order execution quality reports,SEC / reporting market centers,YES_RULE_BASED,Stage2B/Market Regime,execution quality,P1,legacy reports plus amended OES format as implemented,PUBLIC_WEBSITE_CSV,VERY_LARGE_DISTRIBUTED,https://www.sec.gov/data-research/technical-specifications-schemas,market-center security-month report,report publication date < cutoff,"execution speed, fill quality, price improvement and venue benchmarking",Distributed on reporting entities websites; coverage and format transitions require source/version tracking.,SCHEMA_AND_DISTRIBUTED_DISCOVERY_COLLECTOR_READY
WAVE2,SEC_RULE606_REPORTS,Rule 606 public quarterly order-routing reports,SEC / broker-dealers,YES_RULE_BASED,Stage2B/ActorGraph,order routing and payment relationships,P2,public quarterly reports retained at least three years,PUBLIC_WEBSITE_XML,LARGE_DISTRIBUTED,https://www.sec.gov/newsroom/press-releases/2018-253,broker-quarter report,report posting date < cutoff,"routing concentration, venue relationships and payment-for-order-flow context",Distributed websites and broker name changes require a crawler and entity resolution.,DISTRIBUTED_DISCOVERY_COLLECTOR_READY
WAVE2,SEC_EDGAR_FORM_COUNTS,SEC filings by form type and year,SEC,YES,Market Regime/Data QC,filing-volume baselines,P2,historical through June 2026 direct CSV vintage,DIRECT_CSV,SMALL,https://www.sec.gov/data-research/dera-data-library/number-filings-form-type,form-year row,dataset publication vintage < cutoff for live use,"form-volume regime, completeness and crawler validation",Aggregate counts are not issuer evidence; revisions must be versioned.,VERIFIED_DIRECT_ASSET_RUNTIME_BLOCKED
WAVE2,SEC_STRUCTURED_DISCLOSURE_RSS,SEC structured disclosure RSS and monthly archive,SEC,YES,Stage0/2A/External Evidence,near-real-time filing attention,P1,monthly archive from 2005 and current weekday feed,RSS_XML,LARGE,https://www.sec.gov/structureddata/rss-feeds-submitted-filings,feed item,acceptance/public feed timestamp < cutoff,near-real-time filing intake and accession discovery,"Feed coverage is structured-disclosure focused, not all EDGAR forms.",COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_COMMENT_LETTERS,SEC staff comment letters and issuer responses,SEC,YES,Stage1/External Evidence,disclosure scrutiny,P2,historical public correspondence through current,EDGAR_FORMS_UPLOAD_CORRESP,LARGE_SELECTIVE,https://www.sec.gov/edgar/search-and-access,correspondence filing,public release/filing date < cutoff,"review intensity, accounting/disclosure issue categories and response latency",Public release has a review-completion lag; never use private review dates not public at cutoff.,SELECTIVE_EDGAR_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_NT_LATE_FILINGS,Forms NT 10-K and NT 10-Q late-filing notices,SEC,YES,Stage1/2A,reporting stress,P1,historical EDGAR through current,EDGAR_INDEX_PRIMARY_DOC,MEDIUM,https://www.sec.gov/edgar/search-and-access,filing,acceptance timestamp < cutoff,"late-filing incidence, stated reason and subsequent filing delay",Late filing is not fraud; normalize by filer type and amendments.,SELECTIVE_EDGAR_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_FORM_25_NSE,Form 25-NSE delisting notifications,SEC / exchanges,YES,Stage0/Stage1,listing status and delisting,P1,historical EDGAR through current,EDGAR_XML,MEDIUM,https://www.sec.gov/submit-filings/technical-specifications,filing,acceptance and effective dates; both must be preserved,delisting chronology and venue-exit risk,"Voluntary, merger-related and enforcement delistings must be separated.",SELECTIVE_EDGAR_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_FORM_15_DEREGISTRATION,Form 15 deregistration/suspension filings,SEC,YES,Stage0/Stage1,reporting status,P2,historical EDGAR through current,EDGAR_INDEX_PRIMARY_DOC,MEDIUM,https://www.sec.gov/edgar/search-and-access,filing,acceptance/effective date < cutoff,reporting-status transitions and dark-company risk,Deregistration can be routine; match exact rule subsection and issuer identity.,SELECTIVE_EDGAR_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_8K_ITEM_TIMELINE,8-K item-level chronology derived from filings,SEC-derived,YES,Stage1/2A/2B,legitimate catalyst and corporate event,P1,historical 8-K/8-K-A through current,EDGAR_PRIMARY_DOC_DERIVED,VERY_LARGE_SELECTIVE,https://www.sec.gov/edgar/search-and-access,filing-item,acceptance timestamp and item public availability < cutoff,"bankruptcy, acquisition, financing, auditor change, delisting and disclosure event controls",Item extraction requires source-document verification; filing-aligned does not prove causality.,DERIVED_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_NPX_PROXY_VOTES,Form N-PX proxy voting records,SEC,YES,ActorGraph/External Evidence,institutional governance and ownership network,P3,structured filing era through current,EDGAR_XML,LARGE,https://www.sec.gov/submit-filings/technical-specifications,filing-vote row,acceptance timestamp < cutoff; meeting/vote dates stored separately,institution-security governance links and contested-event context,Vote records are delayed and fund reporting scope differs from beneficial ownership.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_NCR_LIQUIDITY_EVENTS,Form N-CR current reports for money market funds,SEC,YES,Market Regime/External Evidence,fund liquidity and stress,P3,structured filing era through current,EDGAR_XML,MEDIUM,https://www.sec.gov/submit-filings/technical-specifications,filing,acceptance timestamp < cutoff,money-market stress and sponsor-support regime features,"Fund-level events are generally market-regime controls, not issuer manipulation evidence.",COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_FORM_17H_RISK_ASSESSMENT,Form 17-H broker-dealer risk assessment filings,SEC,YES,ActorGraph/Market Regime,broker-dealer risk,P3,EDGAR filing history where public,EDGAR_STRUCTURED_OR_INDEX,MEDIUM_SELECTIVE,https://www.sec.gov/submit-filings/technical-specifications,filing,public acceptance timestamp < cutoff,broker-dealer risk and affiliate structure context,Public availability and filer coverage vary; do not assume complete universe.,SELECTIVE_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_FORM_SH_ER,Form SH-ER short-position reporting for emergency rule era,SEC,YES,External Evidence/Research Control,historical short-position episode,P3_RESEARCH,2008 emergency-reporting era,EDGAR_XML_INDEX,SMALL,https://www.sec.gov/submit-filings/technical-specifications,filing,public filing date < cutoff,historical validation of short-report parsers and crisis control,Narrow emergency-era scope; not comparable to modern Form SHO without explicit regime flags.,HISTORICAL_SELECTIVE_COLLECTOR_READY
WAVE2,SEC_COMPANY_TICKERS_CURRENT,SEC current company ticker reference JSON,SEC,YES,Stage0,current identity hint,P1,current snapshot,DIRECT_JSON,SMALL,https://www.sec.gov/files/company_tickers_exchange.json,issuer-security row,snapshot timestamp; current-only,current CIK-ticker-exchange bridge and crawler seed,SEC states ticker files are not guaranteed complete or accurate; never use for historical ticker intervals.,VERIFIED_DIRECT_ASSET_RUNTIME_BLOCKED
WAVE2,SEC_EDGAR_DAILY_FEED_OLDLOADS,EDGAR daily feeds and Oldloads archives,SEC,YES,Stage0/External Evidence,complete filing archive and document acquisition,P1,historical daily feeds through current archives,TAR_GZ_ZIP,VERY_LARGE,https://www.sec.gov/edgar/sec-api-documentation,day/archive file,archive publication and filing acceptance < cutoff,"bulk document recovery, accession completeness and text feature generation",Very large; obey fair-access rules and preserve raw accession provenance.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_RULE10C1A_SECURITIES_LENDING,Rule 10c-1a securities lending data,SEC / FINRA future facility,YES_RULE_BASED,Stage1/2A/Market Regime,securities lending,P3_FUTURE_MONITOR,future public dissemination subject to current compliance dates and implementation,FUTURE_PUBLIC_DATA,VERY_LARGE,https://www.sec.gov/rules-regulations/2023/10/s7-18-21,loan transaction,public dissemination timestamp < cutoff,"future securities-lending cost, quantity and availability context",No historical availability claim; implementation dates and fields must be verified before use.,MONITOR_ONLY_NO_DATA_CLAIM
WAVE2,SEC_VOLCKER_METRICS,Volcker Rule quantitative metrics,SEC and banking agencies,YES,Market Regime/ActorGraph,dealer trading and risk metrics,P3,reporting regime through current where public,TECH_SPEC_AND_AGENCY_DATA,LARGE_SELECTIVE,https://www.sec.gov/data-research/technical-specifications-schemas,banking-entity report,public data vintage < cutoff,dealer inventory/risk regime research and parser readiness,Public data availability is agency- and filer-dependent; specifications alone are not observations.,TECH_AND_DISCOVERY_QUEUE
WAVE2,SEC_FORM_24F2,Form 24F-2 securities sold by investment companies,SEC,YES,Stage1/Market Regime,fund share issuance,P3,structured filing era through current,EDGAR_XML,MEDIUM,https://www.sec.gov/submit-filings/technical-specifications,filing,acceptance timestamp < cutoff,fund share issuance/redemption context,Investment-company specific; not comparable to operating-company dilution.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_SBS_ENTITY_FORMS,Security-based swap entity structured forms,SEC,YES,ActorGraph/Market Regime,swap-dealer identity and risk,P3,structured filing era through current,EDGAR_XML,MEDIUM,https://www.sec.gov/submit-filings/technical-specifications,filing,acceptance/effective date < cutoff,swap dealer and major participant network/regime context,Not issuer-level evidence; public scope and confidentiality must be respected.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,SEC_FORM_MA,Municipal adviser structured filings,SEC,YES,ActorGraph,adviser identity,P3,structured filing era through current,EDGAR_XML,MEDIUM,https://www.sec.gov/submit-filings/technical-specifications,filing,acceptance/effective date < cutoff,municipal-adviser actor network for relevant issuers,Narrow relevance to municipal and adviser-linked cases.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FINRA_MARGIN_STATISTICS,FINRA customer margin statistics,FINRA,YES_SRO,Market Regime/Stage1,leverage and speculative regime,P2,monthly archive through current,XLSX,SMALL,https://www.finra.org/rules-guidance/key-topics/margin-accounts/margin-statistics,month,publication date < cutoff,"market leverage, debit and free-credit balance regime",Aggregate and methodology-sensitive; not issuer-specific evidence.,LINK_DISCOVERY_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FINRA_TRACE_MONTHLY_VOLUME,TRACE monthly corporate/agency/securitized volume,FINRA,YES_SRO,Market Regime,fixed-income liquidity,P2,January 2017 through current,XLSX,SMALL,https://www.finra.org/finra-data/trace-monthly-volume-files,month-product,publication date < cutoff,credit-liquidity and issuance backdrop,Aggregate capped-volume report; not transaction-level issuer evidence.,LINK_DISCOVERY_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FINRA_TREASURY_DAILY_AGG,TRACE Treasury daily aggregate statistics,FINRA,YES_SRO,Market Regime,rates-market liquidity,P2,first daily published 2023-02-13 through current,XLSX_OR_TOKEN_API,MEDIUM,https://www.finra.org/finra-data/browse-catalog/about-treasury/daily-file,business day,publication timestamp < cutoff,"Treasury volume, trade count and on-the-run price regime",Aggregate TRACE-covered activity; corrections and publication lag must be modeled.,LINK_DISCOVERY_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FINRA_TREASURY_MONTHLY_AGG,TRACE Treasury monthly aggregate statistics,FINRA,YES_SRO,Market Regime,rates-market liquidity,P3,2023 through current,XLSX_OR_TOKEN_API,SMALL,https://www.finra.org/finra-data/browse-catalog/about-treasury/monthly-file,month,publication date < cutoff,monthly Treasury liquidity and dealer/customer mix,Aggregate regime feature; daily source is preferred for short event windows.,LINK_DISCOVERY_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FINRA_TREASURY_WEEKLY_LEGACY,TRACE Treasury weekly aggregate legacy series,FINRA,YES_SRO,Market Regime,rates-market liquidity,P3,March 2020 through February 2023,WEB_FILES,SMALL,https://www.finra.org/finra-data/browse-catalog/about-treasury,week,publication date < cutoff,bridge pre-daily Treasury regime period,Discontinued and format differs from daily/monthly reports.,LINK_DISCOVERY_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FINRA_BROKERCHECK_RESTRICTED,BrokerCheck records,FINRA,YES_SRO,ActorGraph,broker identity and disciplinary history,EXCLUDED_TERMS,current/search history,TERMS_RESTRICTED,N/A,https://brokercheck.finra.org/,person/firm,public record date and underlying event dates,potential actor-resolution source,Automated scraping and redistribution may be restricted; no collector or bypass is included.,EXCLUDED_TERMS_RESTRICTED
WAVE2,NASDAQ_TRADING_HALTS,Nasdaq Trader trading halt RSS/history,Nasdaq,YES_SRO,Stage0/2A/External Evidence,halts and regulatory pauses,P1,current and searchable history,RSS_WEB,SMALL,https://www.nasdaqtrader.com/Trader.aspx?id=TradeHalts,halt,halt/resumption timestamp < cutoff,"halt reason, timing and resumption controls",Exchange feed coverage and code semantics must be preserved; halt alone is not misconduct.,VERIFIED_RSS_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,NYSE_THRESHOLD_SECURITIES,NYSE Regulation SHO threshold securities,NYSE,YES_SRO,Stage1/2A/External Evidence,settlement threshold,P3,provider historical interface through current,WEB_DOWNLOAD,SMALL,https://www.nyse.com/regulation/threshold-securities,trade day-security,list publication/date < cutoff,threshold persistence and cross-exchange complement,Threshold status is not manipulation or naked-short proof.,DISCOVERY_QUEUE_RUNTIME_BLOCKED
WAVE2,OCC_OPTIONS_VOLUME,OCC listed options volume statistics,OCC,YES_SRO,Market Regime/Stage1,options activity,P2,historical annual/monthly statistics through current,WEB_XLS_CSV,SMALL,https://www.theocc.com/market-data/market-data-reports/volume-and-open-interest,day/month,publication date < cutoff,"options-volume and open-interest regime, ticker-level where available",Contract adjustments and symbol changes require option-root mapping; aggregate tables are not issuer evidence.,DISCOVERY_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,OCC_SECURITIES_LENDING,OCC securities lending statistics,OCC,YES_SRO,Market Regime,securities lending aggregate,P3,provider reporting history through current,WEB_REPORT,SMALL,https://www.theocc.com/market-data/market-data-reports/volume-and-open-interest,day/month,publication date < cutoff,aggregate lending and collateral regime,Aggregate clearing activity; not a substitute for issuer-level lending data.,DISCOVERY_QUEUE_RUNTIME_BLOCKED
WAVE2,CAT_PUBLIC_METRICS,Consolidated Audit Trail public metrics and reports,CAT NMS,YES_PLAN,Data QC/Market Regime,market activity and reporting quality,P3,public reports through current,WEB_REPORTS,SMALL,https://www.catnmsplan.com/metrics,period,report publication date < cutoff,CAT reporting completeness and market-activity context,Public aggregates do not provide reconstructable security-level order data.,DISCOVERY_QUEUE_RUNTIME_BLOCKED
WAVE2,CBOE_RULE605_EXECUTION_REPORTS,Cboe Rule 605 execution-quality files,Cboe,YES_SRO,Stage2B,execution quality,P3,public retention window and archives,DISTRIBUTED_FILES,LARGE,https://www.cboe.com/us/equities/market_statistics/execution_quality/,venue-month-security,report posting date < cutoff,venue execution-quality complement,Format and venue lineage change; do not conflate with consolidated market execution.,DISCOVERY_COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,MSRB_EMMA_DISCLOSURES,EMMA municipal disclosure and trade data,MSRB,YES_SRO,LegitimateControl/ActorGraph,municipal disclosure and adviser context,P3,historical through current,SEARCH_API_OR_FILES,LARGE,https://emma.msrb.org/,submission/trade,public dissemination timestamp < cutoff,legitimate municipal catalysts and adviser/underwriter network,Only relevant to municipal-linked issuers; data licensing and API terms must be respected.,CATALOG_ONLY_TERMS_REVIEW
WAVE2,FDIC_BANKFIND_INSTITUTIONS,FDIC BankFind institution bulk data,FDIC,YES,Stage0/Stage1,bank issuer identity,P1,current and former FDIC-insured institutions,BULK_CSV_OR_API,MEDIUM,https://banks.data.fdic.gov/bankfind-suite/bulkData/bulkDataDownload,institution snapshot,data vintage/effective date < cutoff,"bank identity, charter, parent, location and status",Current structure bulk is weekly; historical status needs history-event joins.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FDIC_BANKFIND_FINANCIALS,FDIC BankFind quarterly financial data,FDIC,YES,Stage1/LegitimateControl,bank financial condition,P1,quarterly data since 1992,BULK_CSV_XLSX_OR_API,VERY_LARGE,https://banks.data.fdic.gov/bankfind-suite/bulkData/bulkDataDownload,institution-quarter,report/publication vintage < cutoff,"bank capital, asset quality, earnings, liquidity and peer features",Bulk downloads are quarter-limited and revised; preserve vintage and report date.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FDIC_BANKFIND_HISTORY_EVENTS,FDIC bank structure history events,FDIC,YES,Stage0,bank identity and corporate actions,P1,historical structure changes through current,BULK_CSV_OR_API,MEDIUM,https://banks.data.fdic.gov/bankfind-suite/bulkData/bulkDataDownload,event,effective and processed dates both stored,"merger, failure, name, charter and ownership history",Processed date can differ from effective date; avoid retroactive identity changes.,COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FDIC_BANK_FAILURES,FDIC failures and assistance transactions,FDIC,YES,LegitimateControl/Market Regime,bank failure events,P2,1934 through current,WEB_BULK,SMALL,https://banks.data.fdic.gov/bankfind-suite/failures,failure/assistance event,public/effective date < cutoff,bank-failure legitimate catalyst and systemic-risk controls,"Historical datasets are revised; distinguish failure, assistance and merger events.",COLLECTOR_READY_RUNTIME_BLOCKED
WAVE2,FDIC_SUMMARY_OF_DEPOSITS,FDIC Summary of Deposits,FDIC,YES,Stage1/LegitimateControl,bank franchise and concentration,P3,national custom downloads since 1994; legacy 1987-1993 files,CSV_BULK,LARGE,https://banks.data.fdic.gov/bankfind-suite/SOD/customDownload,branch-year,annual publication vintage < cutoff,"deposit growth, branch footprint and local concentration",Annual and bank-specific; acquisition effects require pro forma/structure joins.,COLLECTOR_READY_RUNTIME_BLOCKED
